ACO,ABC ,CS,DIRECT,HS,PSO,Firefly
3726783.239,3726783.229,3726783.239,3726783.239,3726758.406,3538167.136,4908.028039
3726783.239,3726783.209,3726783.239,3726783.239,3726628.157,3726780.47,3726191.343
3726783.239,3726783.12,3726783.239,3726783.239,3726783.232,3726782.97,3531729.17
3726783.239,3726783.239,3726783.239,3726783.239,3726764.984,3726782.925,3725052.984
3726783.239,3726783.228,3726783.227,3726783.239,3726336.437,3726783.204,3559441.288
3726783.239,3726783.239,3726783.239,3726783.239,3726770.931,3574502.945,3477116.929
3726783.239,3726783.19,3726783.224,3726783.239,3726778.251,3726727.5,1769577.461
3726783.239,3726783.232,3726783.239,3726783.239,3726780.891,3726781.64,2486109.779
3726783.239,3726783.21,3726781.482,3726783.239,3726693.8,3726783.211,3657650.184
3726783.239,3726783.185,3726779.656,3726783.239,3726779.891,3726783.233,2531283.053
3726783.239,3726783.228,3726783.037,3726783.239,3726782.818,3726783.08,3283654.324
3726783.239,3726783.228,3726783.239,3726783.239,3726761.229,366970.4514,104628.4929
3726783.239,3726783.181,3726762.785,3726783.239,3726782.803,3726783.238,3718959.771
3726783.239,3726783.216,3726783.239,3726783.239,3726774.538,3726783.029,3670818.05
3726783.239,3726783.239,3726783.239,3726783.239,3726781.102,3726782.936,3374891.842
3726783.239,3726783.238,3726783.239,3726783.239,3726783.227,2648413.109,3595495.339
3726783.239,3726783.228,3726783.232,3726783.239,3726781.769,3726783.083,3096855.435
3726783.239,3726783.238,3726783.218,3726783.239,3726766.555,3726783.239,3129730.189
3726783.239,3726783.079,3726783.239,3726783.239,3726775.334,3093954.287,3706515.213
3726783.239,3726783.196,3726782.702,3726783.239,3726764.351,3726783.228,3688034.012
3726783.239,3726783.237,3726783.239,3726783.239,3726783.183,3690957.712,2180531.915
3726783.239,3726783.144,3726782.448,3726783.239,3726782.954,3726783.027,2176518.885
3726783.239,3726783.183,3726783.238,3726783.239,3726781.446,3726783.156,133445.1529
3726783.239,3726783.233,3726783.239,3726783.239,3726747.473,3726783.237,3575891.454
3726783.239,3726783.043,3726783.06,3726783.239,3726783.105,3726783.21,217914.6955
3726783.239,3726783.232,3726783.234,3726783.239,3726780.725,3726782.343,3281835.387
3726783.239,3726783.231,3726783.239,3726783.239,3726778.938,3726783.237,3213209.422
3726783.239,3726783.23,3726783.239,3726783.239,3726782.801,2517116.564,3346094.712
3726783.239,3726783.201,3726783.239,3726783.239,3726755.13,3422940.081,3721921.89
3726783.239,3726783.216,3726783.004,3726783.239,3726778.025,3726782.994,103638.3082
3726783.239,3726783.234,3726783.239,3726783.239,3726657,3726783.042,2880105.955
3726783.239,3726783.209,3726782.882,3726783.239,3726776.687,2159542.161,3675970.725
3726783.239,3726783.192,3726776.7,3726783.239,3726781.269,3230903.853,2090.96461
3726783.239,3726783.239,3726782.84,3726783.239,3726782.868,3726783.168,3657221.268
3726783.239,3726783.236,3726783.239,3726783.239,3726778.786,3257943.723,3707088.166
3726783.239,3726782.265,3726783.239,3726783.239,3726698.413,3726783.236,3661169.709
3726783.239,3726783.235,3726782.281,3726783.239,3726721.446,3726783.222,3616084.624
3726783.239,3726783.239,3726783.239,3726783.239,3726747.171,2818122.477,3235916.76
