ACO,ABC,CS,DIRECT,HS,PSO,Firefly
8.837367584,-7.656706977,9.558740154,6.417385389,7.170489643,-8.49574019,-7.350435893
9.557099484,-7.90815295,9.454643569,6.417385389,6.886245514,-38.127138,-47.35418547
6.733739905,6.078980885,5.074541364,6.417385389,7.183195121,-71.0827121,-16.75436787
8.492199223,-2.013537578,8.73563336,6.417385389,5.942553063,-2.078589512,-5.559031245
8.654137139,8.243910693,9.484288759,6.417385389,8.480717555,-51.2836554,-134.5237553
8.641659816,-0.660124327,7.740103814,6.417385389,7.725531694,-52.28454162,-37.82373687
7.772697038,0.71948739,9.360533446,6.417385389,8.075566339,-122.2144972,3.09654766
7.787773109,-1.602375602,7.813591587,6.417385389,4.330063412,-12.69779996,-51.34216174
5.370253067,-0.731960772,9.169753251,6.417385389,9.691774444,-7.28617881,-127.4890727
-0.104719254,1.237062454,8.374357919,6.417385389,5.225992313,-38.36887581,-71.85320797
9.544290895,-1.420729281,9.55874016,6.417385389,7.084429223,-19.97662495,-49.72762803
6.320172544,-3.457934864,9.554089602,6.417385389,6.061028416,-9.31481012,-40.83551512
6.536814576,-10.01248955,9.530607076,6.417385389,10.10599628,-19.93470442,-119.4919274
8.38847801,-1.707232411,7.464505028,6.417385389,6.103990988,-114.7121231,-73.40104664
8.077313702,9.128503584,7.391579064,6.417385389,5.932654228,-36.6028144,-28.65224406
5.132365135,-4.326204596,3.658622477,6.417385389,9.152662158,-37.97920984,-88.86415336
8.51162259,-3.001379887,8.624084794,6.417385389,3.910503134,-78.10605343,-59.11203771
8.718179166,4.958416601,8.51162259,6.417385389,6.463433438,-33.64753921,-114.3563132
-1.981940743,8.443961141,8.640687227,6.417385389,7.521734037,-37.75669096,-86.74943627
7.94423385,0.016598295,9.498214618,6.417385389,5.924678623,-16.01869325,-82.1324439
7.761590414,-6.855009172,6.620714771,6.417385389,4.606300073,-112.773139,-4.891715466
8.506158269,2.27615104,6.40396557,6.417385389,8.836830769,-52.45120185,-111.0533847
8.101197464,-0.66071081,9.331323821,6.417385389,8.040675432,-27.27543317,-79.53859464
9.145760706,1.170770758,9.42329509,6.417385389,4.793723738,-52.24843545,-69.87889238
8.597725092,1.130039225,5.126368072,6.417385389,6.54874904,-32.39785817,-112.9889764
7.700934735,-2.656295026,9.523637509,6.417385389,6.013573318,-89.95648725,-42.8980745
6.679644629,0.904285377,9.535584243,6.417385389,8.613106596,-39.66365218,-112.5705808
8.126749889,-3.691023281,8.510066526,6.417385389,9.25401987,-28.07330353,-49.24649252
9.003249896,2.638202109,8.315486083,6.417385389,7.193130904,-27.67926756,-57.65565867
7.570323915,-7.659068094,8.453644831,6.417385389,8.302978827,8.026287711,-4.99917571
7.926016358,-1.715693663,8.801527463,6.417385389,3.432817475,-29.42778228,-45.83804459
-7.648496107,-2.903467964,7.487011513,6.417385389,6.424540677,-35.52041578,-81.23526244
6.667072643,-1.529734701,6.062179126,6.417385389,5.848779883,-63.2211571,-40.46157671
7.494966345,-5.315398537,9.452537241,6.417385389,6.61526617,-44.96574028,-87.00369591
9.492268528,1.591881599,9.531957863,6.417385389,9.132811973,-67.75359422,-33.33243528
9.550938187,9.071795989,8.390964478,6.417385389,7.749809146,-14.23097587,-117.8208869
7.237342288,2.876202867,9.341912811,6.417385389,7.870272234,-29.28201079,-42.28107513
7.530694906,-5.681272462,5.59952902,6.417385389,8.295158937,-8.360987656,-90.89363974
7.340020985,-6.964064756,9.55874016,6.417385389,9.97223786,-28.20369124,-57.88088719
0.134658789,-1.775462761,8.51162259,6.417385389,6.410892418,-26.83785957,-24.77509861
7.421615067,-0.529242005,9.558564778,6.417385389,6.098260882,-21.8850732,-38.56223455
8.824762241,-3.366740366,9.54853585,6.417385389,7.786923785,-33.59710855,-53.16524165
6.144394778,-3.633236733,6.57396863,6.417385389,9.26861768,-15.78480475,-18.7283556
9.164220818,-6.167125239,9.55874016,6.417385389,9.474881591,-26.54116421,-133.45913
7.027694526,-15.942519,8.306684825,6.417385389,5.054530833,-37.60181854,-19.4482232
6.882754137,1.981500888,9.415496299,6.417385389,7.546137596,-62.23829675,-66.34782155
9.453420334,0.876644978,8.132368467,6.417385389,8.781991948,-8.451000223,-24.71288336
7.94466528,-1.633379075,7.359949933,6.417385389,8.647879422,-35.49643176,-64.78045238
4.178651914,3.916884761,9.558712629,6.417385389,8.230773456,-101.5629201,-35.24203389
6.083620545,6.827478338,8.865385526,6.417385389,8.49712602,-0.940172031,-17.70156856
7.697402331,-9.716877118,8.510730256,6.417385389,9.268580579,-36.07103119,-109.0835602
9.533229072,9.312799907,8.829282013,6.417385389,9.326303425,-16.43768762,-59.85945332
9.311068366,-1.505669417,9.55874016,6.417385389,5.294589476,-30.97656961,-67.88267764
6.050911043,-6.326883155,9.556840443,6.417385389,7.097858263,-25.01880553,-127.0722364
8.190516339,2.816607106,6.282574176,6.417385389,7.991684184,0.954060411,-88.63493391
8.596885423,-2.474810246,5.561624426,6.417385389,7.634096208,-39.15768661,-56.16296076
9.163392634,-4.846647555,9.558662376,6.417385389,2.723543937,2.785642128,-147.7234064
9.418291336,-2.705032596,7.159887705,6.417385389,6.389645232,-9.595247736,-137.9850816
7.266958782,-1.91261104,9.55874016,6.417385389,8.881425956,-10.52303135,-23.42033798
8.424230011,-0.599113199,9.470798009,6.417385389,8.412734863,-34.19591071,-84.62321304
7.933266298,-5.606193163,9.558252185,6.417385389,6.099273022,-86.9845784,-27.48365283
8.604583582,0.196961038,8.149079931,6.417385389,6.416368443,-14.11337525,-23.68120721
8.417883156,-11.35733773,7.611636449,6.417385389,7.683103728,-23.00918669,-115.2439833
9.358915168,5.307461701,7.19946628,6.417385389,9.356680769,-16.74647331,-99.1018253
8.587803232,5.056992389,9.434091567,6.417385389,7.042405839,-50.69636414,-50.94855658
8.876452089,6.218006391,9.557335806,6.417385389,10.55223832,-15.18950798,-36.78407191
6.512968774,5.621889361,8.511551024,6.417385389,8.17026806,-31.1232715,-63.16042228
8.91826824,-9.186831413,4.374901424,6.417385389,7.191362157,-119.4353923,-22.22039028
8.871126124,0.317284952,9.197442449,6.417385389,4.253257638,-40.7289844,-87.02800332
9.278103674,-4.490877564,9.548692032,6.417385389,6.093018207,-54.57525431,-175.3606154
8.000816473,-2.232024192,9.545340925,6.417385389,8.681733849,5.314452944,-132.1223708
9.431370096,1.417628754,8.740358551,6.417385389,8.894912861,-10.46663788,-118.1489441
9.092984648,-2.620832653,8.600706092,6.417385389,8.314387891,-20.2513945,-61.0669158
8.299577427,-2.995831139,9.526810595,6.417385389,9.167531919,-28.09148123,-65.21105402
9.558740158,3.570715552,3.163227632,6.417385389,8.189047464,-30.46687889,-66.64642407
7.464482446,-0.483053642,9.558626571,6.417385389,10.39068337,-34.6203213,-99.02432116
6.121378969,1.688316682,9.23525273,6.417385389,7.401456792,-52.52487167,-44.73093389
8.35310943,-0.242321592,9.55874016,6.417385389,5.620064608,-20.39319517,-106.2306128
8.214020254,5.01559705,9.518932658,6.417385389,9.232188476,-30.23705108,-87.88537542
5.255258529,-1.493076604,8.547575999,6.417385389,9.359040691,-92.24564549,5.598044074
9.552270961,-4.340408068,9.162126641,6.417385389,6.287473509,-34.63321054,-115.884342
8.924456923,5.29902268,9.554261074,6.417385389,8.074840578,-37.88743377,-107.142719
8.291112539,-13.84518495,9.55874016,6.417385389,4.51882974,-81.99258347,-61.80562872
7.367024311,4.907920569,7.455945642,6.417385389,7.768555992,-67.445345,-21.71321572
-35.75698442,-6.559528113,9.450620533,6.417385389,9.426162762,-36.59290531,-11.48340954
8.98361699,-1.68970533,9.556213407,6.417385389,6.957692865,-44.07326603,-74.10331081
9.297037554,-7.552814482,9.55874016,6.417385389,6.649926259,-18.62979652,-67.09139277
6.963103819,6.443503576,8.511622122,6.417385389,9.204439763,1.879998062,-72.48214376
9.355638637,5.709775896,9.55874016,6.417385389,6.019212319,-6.170857271,-12.91094159
8.680953252,-1.268596892,9.534142377,6.417385389,5.350005347,-57.7060639,-81.44723711
-112.9541132,4.206062523,9.054673035,6.417385389,8.707177522,-48.43294931,-20.51327331
9.230134772,-3.434168512,7.464505028,6.417385389,5.555586947,-28.3286695,-79.1196698
9.137008387,4.291594367,8.799731308,6.417385389,9.155786869,-58.70211099,-65.91649319
5.994355802,-5.845743811,3.245579369,6.417385389,8.70094364,-12.57083228,-7.450665376
9.278545337,-2.332893956,9.217932305,6.417385389,8.126430446,-7.520347913,-74.6221613
8.813841375,-3.543947668,9.535435873,6.417385389,4.373896579,-81.31130562,-3.498603678
7.439331501,-5.715553597,7.827792575,6.417385389,7.436824463,-89.15491908,-66.63308926
8.299826928,-9.279971368,9.355909023,6.417385389,8.771423866,-16.74273497,-96.10742731
8.782985583,-10.58768755,9.28572847,6.417385389,6.334022164,-2.125132278,-32.82671805
9.047942166,6.836498764,9.181384499,6.417385389,9.301527394,-71.15043102,-70.36627262
