ACO,ABC,CS ,DIRECT ,HS,PSO,Firefly
0.013280153,0.135028839,0.324713945,0.081719637,0.142627954,0.001985312,0.005185604
0.014615059,0.104310989,0.352786541,0.077755451,0.130782366,0.00100112,0.003002644
0.018014431,0.095049858,0.495834112,0.081054688,0.139653921,0.000999451,0.004000664
0.015444994,0.095106602,0.310231686,0.075631142,0.139865875,0.000980139,0.003001451
0.019278288,0.139624357,0.372363329,0.14265728,0.215484142,0.001142025,0.003146172
0.017351627,0.132517338,0.444983721,0.079944372,0.199312687,0.001001358,0.00400281
0.016561747,0.13037467,0.426011801,0.123241663,0.265571356,0.001001358,0.003229618
0.014158249,0.106348038,0.345460892,0.083614826,0.149115324,0.001000643,0.00315094
0.014181137,0.106649876,0.492557049,0.073335648,0.146395445,0.002000332,0.006268024
0.015336752,0.168283939,0.342580795,0.114435196,0.304609299,0.002002478,0.004168749
0.013134241,0.091983795,0.37599659,0.074454546,0.178433657,0.002000332,0.006262779
0.034100056,0.231158495,0.527242661,0.184273958,0.316447496,0.002001047,0.005006313
0.035605431,0.226242065,0.42685008,0.164550543,0.366993189,0.00100112,0.004153252
0.0160079,0.134437799,0.877066135,0.113980532,0.207972527,0.001499891,0.004530907
0.020013571,0.338818073,1.621165037,0.123088837,0.446933985,0.001995802,0.007500648
0.018511295,0.301709414,1.510672331,0.104572535,0.457353115,0.001996279,0.018790007
0.050537586,0.875127077,1.16032362,0.479081869,0.86361599,0.001998425,0.006502151
0.02701354,0.254734755,0.84661746,0.199644566,0.415796041,0.001000166,0.010511398
0.026020527,0.173145771,0.530403614,0.11958456,0.441312551,0.000999689,0.003483772
0.015992403,0.115780115,0.399265289,0.080075502,0.152219534,0.000999689,0.003517389
0.016157389,0.102072239,0.343396425,0.076553583,0.15861702,0.001018286,0.003045321
0.016011715,0.100189447,0.335757732,0.081557751,0.159132242,0.001001835,0.003503084
0.021028519,0.135946989,0.40428853,0.124575138,0.156906128,0.001000881,0.003500462
0.016029119,0.101072311,0.332755327,0.074553728,0.154611111,0.001000643,0.003502131
0.01451087,0.103555679,0.34072566,0.091101885,0.196218014,0.001000404,0.005006075
0.017491579,0.132613659,0.409792662,0.087017775,0.155611277,0.001000166,0.003502131
0.017510414,0.122088432,0.377809763,0.083078861,0.176221848,0.001501322,0.003502131
0.017512321,0.240152121,0.409290075,0.103553772,0.260667562,0.000998259,0.003499985
0.017491817,0.114602327,0.433690548,0.086577177,0.177214146,0.001000166,0.00500226
0.027035236,0.125108004,0.535878897,0.096555233,0.197139978,0.002001286,0.006504297
0.020550013,0.130589962,0.472373962,0.089571476,0.293231487,0.001000166,0.00302434
0.022514105,0.135077953,0.509361506,0.092585564,0.199269533,0.002996922,0.006021023
0.015517473,0.121065855,0.432786942,0.08757925,0.191151142,0.000999928,0.003522396
0.019505739,0.119607687,0.377283812,0.088088036,0.168698311,0.000999689,0.003501654
0.016010046,0.116752148,0.374572277,0.08509016,0.172123671,0.001002073,0.003003597
0.019522667,0.145594835,0.413794279,0.123181105,0.217171907,0.00210166,0.00502491
0.015530825,0.110126257,0.3747437,0.141605377,0.164906979,0.001002312,0.004003286
0.014507771,0.161116362,0.412797689,0.082558393,0.167036295,0.001017809,0.003019333
0.016528368,0.118109941,0.400784254,0.082050085,0.167599201,0.001000166,0.003522396
0.016011477,0.122294903,0.473372936,0.099571943,0.172618866,0.001017809,0.002498388
0.017012596,0.104071617,0.43042326,0.108074903,0.167119741,0.001000166,0.003501654
0.017993689,0.111078978,0.418275833,0.090588093,0.170120716,0.001001835,0.00300312
0.019514084,0.164098263,0.444837093,0.112076998,0.166596174,0.001020908,0.003021717
0.020012856,0.107592583,0.379273653,0.087575912,0.177326918,0.001121759,0.003502131
0.017530203,0.112079144,0.367759705,0.082539082,0.170284986,0.001021147,0.003023148
0.019051075,0.115566254,0.426314116,0.082905769,0.173148155,0.001986027,0.005006313
0.019014359,0.114626408,0.367278099,0.083058119,0.168316364,0.001019716,0.003022194
0.01651001,0.113602877,0.367784739,0.080579281,0.164616346,0.001151562,0.003498793
0.015010834,0.110077858,0.371267319,0.080556631,0.172101974,0.001507282,0.0045259
0.01753211,0.159634352,0.410311222,0.127165318,0.270853281,0.000982046,0.004487991
0.015992641,0.122107029,0.423819065,0.085059643,0.168201447,0.001000643,0.005485058
0.019514084,0.117085218,0.391295671,0.089563131,0.177816391,0.001020908,0.003022432
0.016012192,0.11605835,0.378037214,0.087080717,0.176248074,0.001000166,0.003001928
0.015509605,0.118572235,0.36873889,0.083559036,0.168732405,0.001326323,0.004852057
0.016604662,0.117600918,0.441812277,0.091067553,0.170386553,0.001000404,0.003522873
0.023996353,0.153905153,0.39731431,0.122602224,0.211880445,0.001000643,0.003663778
0.015512943,0.120583296,0.367259264,0.083538771,0.167878389,0.001002312,0.003503561
0.015008926,0.116584301,0.368762016,0.086350441,0.178623915,0.001135111,0.00302124
0.020492315,0.126610041,0.372263908,0.126109123,0.21628499,0.001000166,0.004002333
0.017030478,0.113582373,0.380770922,0.086555719,0.226774931,0.001000166,0.003001451
0.016794682,0.108578444,0.371745348,0.083562851,0.171291828,0.001000404,0.003520727
0.018510103,0.113600731,0.572423458,0.09554863,0.168101788,0.002002954,0.005002737
0.019337654,0.11558342,0.384824276,0.08455658,0.177742243,0.001019955,0.003021955
0.016506195,0.122111559,0.430308819,0.088586092,0.18061018,0.001003504,0.003504753
0.015993595,0.113576651,0.379269361,0.086353302,0.174672365,0.001500368,0.003502131
0.01752758,0.11206007,0.390296698,0.08202529,0.179144859,0.001000166,0.004484653
0.016989708,0.113078117,0.39526701,0.085582733,0.189213991,0.001002312,0.003504515
0.016510963,0.114239931,0.604425192,0.085033178,0.170746803,0.001182318,0.003524542
0.017995119,0.108096123,0.371764898,0.092563391,0.176133394,0.001000404,0.003001928
0.016487122,0.1165874,0.378787279,0.083560944,0.179144859,0.00087285,0.003355265
0.01651144,0.112569332,0.375900984,0.086058855,0.16878581,0.001000166,0.003002167
0.016489029,0.111599922,0.368768215,0.085081816,0.16511631,0.001001596,0.003504038
0.016030312,0.113090754,0.37778616,0.083541393,0.219161987,0.000980854,0.003484249
0.015491486,0.11708045,0.36776495,0.087581635,0.178395033,0.001004934,0.005054951
0.016010046,0.112770081,0.377718687,0.084060431,0.175233126,0.001000643,0.003502607
0.017993689,0.141119719,0.411791563,0.099071264,0.194824696,0.001000643,0.003503323
0.016811848,0.115136623,0.426820993,0.09206748,0.17522788,0.001000166,0.003482342
0.018015623,0.104593754,0.370265484,0.090041876,0.172809124,0.001021862,0.003024578
0.017994165,0.137115717,0.450819969,0.091564417,0.272776127,0.002501726,0.005155325
0.015487671,0.108871222,0.387771845,0.089587212,0.170139074,0.001984358,0.004983664
0.016994476,0.11958003,0.469820738,0.080679893,0.171950817,0.002500057,0.006002903
0.021514893,0.122588873,0.366565466,0.092583656,0.283738136,0.001000643,0.003521204
0.017030001,0.113062143,0.38775444,0.084540129,0.229180336,0.001490593,0.003992081
0.016175508,0.112080097,0.36477828,0.084549665,0.170287848,0.00102067,0.004004717
0.018115282,0.113082886,0.39026165,0.08358264,0.167136192,0.001000166,0.003502607
0.015491724,0.115096331,0.512844801,0.089728594,0.167617321,0.00150156,0.006005526
0.01700449,0.107577562,0.381304264,0.084565639,0.220677853,0.001023531,0.003023624
0.015482903,0.113098145,0.416314602,0.097070217,0.176129818,0.002002001,0.00700736
0.018006086,0.1110816,0.423233271,0.084733486,0.187631607,0.001013994,0.003015041
0.01853323,0.108095169,0.418303967,0.084557772,0.178824663,0.001500368,0.003501892
0.01703167,0.117588282,0.370762348,0.082540274,0.172521114,0.000999451,0.005213499
0.015992403,0.113580465,0.443814039,0.083060265,0.195158005,0.00149703,0.00399828
0.018012524,0.120078564,0.367816687,0.086560965,0.180146217,0.001000166,0.003002167
0.014987946,0.109597683,0.416277885,0.093082905,0.169713259,0.001000166,0.005502224
0.015531301,0.110566616,0.375285864,0.082055569,0.167612553,0.001000643,0.003525734
0.017513275,0.115062475,0.369309664,0.089550734,0.169090271,0.000977516,0.003478765
0.017992258,0.105111122,0.37226367,0.088563442,0.166717768,0.002522469,0.005022049
