ACO,ABC ,CS,DIRECT,HS,PSO,Firefly
0.018011332,0.091045618,0.277460814,0.012009382,0.129094124,0.00102067,0.00301981
0.01301074,0.090492964,0.308898687,0.009006977,0.128098249,0.000519037,0.00300312
0.017204523,0.087538481,0.265610456,0.009006023,0.12552762,0.00100565,0.004004717
0.013141155,0.091882229,0.256174326,0.01000762,0.127951622,0.001000643,0.00300169
0.010989189,0.087271452,0.274228334,0.011179686,0.126101732,0.001178265,0.003198862
0.013125896,0.086387634,0.298259258,0.009147882,0.123852253,0.001000643,0.003090858
0.012336969,0.084553957,0.300976515,0.009507656,0.125495911,0,0.002000809
0.012254953,0.085966587,0.248377323,0.012366295,0.12678051,0.000499487,0.003000975
0.012485981,0.087895632,0.248935699,0.011358023,0.125191689,0.001005888,0.003002167
0.011257887,0.088297844,0.296151161,0.0094347,0.142435789,0.001194477,0.003214836
0.013009787,0.083729267,0.255277395,0.0090065,0.130717516,0.000995636,0.002997637
0.01327467,0.084547997,0.258901119,0.012009621,0.127468586,0.001000166,0.003170013
0.011321068,0.083957195,0.249212265,0.011196613,0.128482342,0.000519991,0.001914501
0.01521349,0.085774183,0.249240637,0.011006117,0.129946232,0.000500202,0.00300169
0.011410475,0.089753628,0.292970419,0.01232481,0.127545118,0.001000404,0.003002405
0.013299942,0.087701082,0.249349117,0.010160685,0.138225317,0.001002789,0.00400424
0.013365746,0.084480762,0.250720263,0.011330605,0.128699303,0.001001358,0.003005028
0.013353586,0.091427565,0.24895668,0.010345459,0.129757643,0.001000166,0.003000021
0.014380693,0.094399929,0.30109787,0.011012077,0.135483265,0.001000643,0.002503395
0.01418519,0.086783886,0.246481419,0.011414289,0.12949419,0.000873327,0.002874613
0.011127949,0.086761713,0.273595572,0.011371851,0.130025864,0.00100112,0.003002167
0.013471603,0.087000608,0.24620223,0.011207342,0.129172802,0.00018239,0.003203154
0.015600443,0.08683753,0.260036469,0.011363029,0.13412714,0.001179934,0.003200054
0.012252331,0.085827589,0.298231125,0.011266232,0.128199816,0.001131058,0.003151417
0.012504578,0.086932659,0.253271103,0.009372473,0.150482893,0.001000643,0.003145933
0.01124835,0.084950686,0.266563416,0.009335756,0.127232552,0.002280474,0.004787922
0.012489557,0.085907936,0.257960796,0.009425402,0.131381989,0.000980616,0.003501654
0.01143074,0.086223125,0.295776129,0.010550499,0.13392663,0.001000643,0.00300169
0.011220455,0.083707094,0.262935162,0.010340691,0.125812531,0.001001358,0.003001928
0.011285305,0.084121943,0.253779888,0.013900042,0.126261711,0.001125813,0.002145529
0.01225996,0.085125923,0.264627218,0.009200096,0.124614,0.001154423,0.00415659
0.011435747,0.085113525,0.300882339,0.009210348,0.130081177,0.001000881,0.002202034
0.015016794,0.083962917,0.272295475,0.009230852,0.125945091,0.00100112,0.003183126
0.011648178,0.083991766,0.259326458,0.009138584,0.124523401,0.001000643,0.00300169
0.011096716,0.085138321,0.261240482,0.009142399,0.12687993,0.001000881,0.003002167
0.011998653,0.082545042,0.290287971,0.011330843,0.126788139,0.001000166,0.003000975
0.011989594,0.087323666,0.29745245,0.011009455,0.128381491,0.00100112,0.002159357
0.012164354,0.084257603,0.271034002,0.014610291,0.125076294,0.001001358,0.003181458
0.012528181,0.091427803,0.266713381,0.009509087,0.130113602,0.001006126,0.003997564
0.016234159,0.08690834,0.255158186,0.009148121,0.133618116,0,0.003191948
0.011161089,0.085663795,0.302149773,0.012162685,0.12855792,0.001019955,0.003021717
0.012383938,0.090840101,0.263029099,0.01038456,0.127408981,0.000138521,0.002141237
0.012432098,0.08680439,0.25900507,0.010372162,0.130301714,0,0.003115892
0.013579369,0.084103584,0.2663095,0.011893749,0.130224466,0.001003504,0.003003836
0.014516115,0.086749315,0.252944231,0.010215282,0.137868404,0.001000643,0.003002405
0.01200366,0.085635185,0.29426384,0.011350393,0.128774881,0.00100112,0.003002405
0.016011477,0.084163189,0.260556936,0.011008263,0.12992692,0.000999212,0.003018379
0.012161732,0.087298393,0.250418901,0.010371447,0.13068223,0,0.003021479
0.014008045,0.089033127,0.25655961,0.0090065,0.135401487,0,0.002019405
0.014216185,0.085758924,0.296045065,0.011388779,0.131454706,0.001000881,0.003002167
0.01251173,0.085078239,0.255831003,0.010793447,0.129973173,0.001000643,0.003002167
0.011528969,0.090397596,0.256448984,0.010129452,0.130535364,0.001019955,0.003021717
0.010708094,0.089422226,0.246151447,0.011212826,0.12906003,0.00100112,0.003001928
0.013515711,0.086760759,0.310356855,0.008648396,0.130279779,0,0.002009392
0.011007786,0.087548494,0.301222324,0.013177633,0.128412485,0.001000643,0.00308609
0.0132339,0.085539818,0.273437738,0.01267314,0.129710913,0.001000881,0.003502131
0.013853788,0.089147568,0.257774591,0.010437965,0.130438805,0.000835419,0.00233674
0.013610601,0.091427803,0.266577244,0.010322332,0.135365009,0,0.004088402
0.014539003,0.088526249,0.292349577,0.009469748,0.128391743,9.42E-05,0.003097534
0.014516592,0.089258671,0.257708788,0.010178089,0.131436348,0.001000404,0.003329277
0.012020588,0.08484745,0.264574528,0.009148598,0.129657269,0.001000643,0.002001524
0.011517048,0.081703901,0.265259981,0.014011145,0.129882097,0.000523329,0.002524376
0.013009787,0.08786869,0.309052229,0.010009527,0.140034199,0.002001286,0.007004738
0.013507843,0.093204498,0.257066965,0.011155605,0.13251543,0.001000881,0.003002405
0.014053345,0.087389946,0.301551342,0.013165951,0.131240606,0.00113678,0.003140211
0.016972542,0.088345289,0.26022172,0.010010958,0.14734745,0.00100112,0.003133535
0.012441874,0.087785721,0.258439064,0.009505272,0.132090569,0.001001358,0.00217557
0.015139818,0.089924812,0.255536556,0.010313272,0.179569244,0.0011518,0.003175735
0.013206959,0.090448618,0.261214733,0.010006666,0.135853767,0.000982285,0.00300312
0.014354944,0.090801716,0.254268408,0.010175467,0.134332895,0.00100112,0.003001928
0.014538527,0.086216211,0.25800705,0.01000762,0.132617474,0.001001358,0.003001928
0.012252331,0.088495255,0.295632362,0.01151371,0.129060507,0.000996828,0.003496647
0.01235342,0.087543964,0.261710167,0.011441469,0.13124299,0.001000166,0.002501011
0.013281822,0.090045452,0.252143621,0.016211987,0.134538889,0.001002789,0.004004955
0.014179707,0.086377859,0.260728359,0.010172367,0.13100481,0.001000643,0.00335288
0.015152693,0.085051775,0.304476023,0.010277033,0.134155035,0.00102067,0.002022028
0.013401031,0.088088274,0.277925968,0.010785341,0.131398916,0.001002789,0.00314784
