ACO,ABC ,CS,DIRECT,HS ,PSO,Firefly
0.015269756,0.090055227,0.445281506,0.064127207,0.133655548,0.001000881,0.003005028
0.013147354,0.094635963,0.390274048,0.060124397,0.139472008,0.002001047,0.00400281
0.014184475,0.089930296,0.368756294,0.063301325,0.140452862,0.001000643,0.003201723
0.014184475,0.090649128,0.371412277,0.068773508,0.134027719,0.001000643,0.003002167
0.014926195,0.089750528,0.379388809,0.062475681,0.130288601,0.001001358,0.003155708
0.014167547,0.088851929,0.405654907,0.063930511,0.132303953,0.001000881,0.003120184
0.014657259,0.091636896,0.371263742,0.06086731,0.131621838,0.001149893,0.003171206
0.014767885,0.088103771,0.36675334,0.060886383,0.148546696,0.001018286,0.003144026
0.013628483,0.088790655,0.371309757,0.060347795,0.13276124,0.000999689,0.003000021
0.017193556,0.08775425,0.418787479,0.060201883,0.131663561,0.001062155,0.003064632
0.013301849,0.086733341,0.37605238,0.063471794,0.132943153,0.001000404,0.003001451
0.015414,0.090322018,0.388455629,0.062152147,0.129348755,0.00112772,0.003129005
0.014392614,0.090664148,0.364994287,0.063122749,0.142277956,0.001137495,0.003138304
0.014495373,0.088947773,0.37821126,0.061681986,0.132136345,0.001000643,0.003151178
0.016504288,0.090622902,0.41698122,0.061286211,0.131164074,0.001000881,0.004002571
0.013127327,0.103606939,0.388452291,0.064939976,0.134259224,0.000999689,0.003000021
0.013644695,0.091816425,0.372787714,0.061176777,0.133256674,0.001200199,0.003201246
0.013425827,0.087353706,0.367772341,0.072811842,0.130605698,0.001001596,0.003175497
0.015166521,0.08863163,0.409950495,0.062886953,0.132512569,0.001002312,0.003133059
0.013308287,0.087277889,0.372862339,0.06366086,0.131088972,0.001146317,0.003149271
0.013222456,0.08638382,0.389607191,0.06311512,0.133526564,0.001000881,0.002503633
0.014639854,0.089689732,0.429670811,0.06991601,0.131819963,0.001001358,0.003102064
0.013427496,0.088644266,0.418576241,0.061284065,0.134652138,0.001000881,0.003138781
0.013011217,0.085976362,0.374504566,0.063632965,0.131910801,0.001162291,0.003165483
0.013170242,0.090523243,0.367773771,0.061495781,0.132843733,0.000999451,0.003000259
0.015384912,0.093550205,0.378734589,0.05925703,0.145473719,0.0011518,0.004155397
0.016582727,0.092209101,0.376731634,0.067452908,0.135377407,0.001000166,0.003318071
0.014459133,0.091903687,0.418856859,0.061434269,0.13265729,0.001000643,0.003002167
0.013261795,0.131869078,0.380293131,0.062396049,0.133257627,0.001000643,0.002001286
0.013992071,0.095413208,0.374614954,0.064650297,0.131276369,0.001020193,0.003021717
0.014513969,0.108926058,0.377847672,0.061190367,0.133346319,0.002001286,0.003002405
0.014475107,0.089518785,0.412233114,0.063428402,0.135807991,0.001001596,0.003164291
0.013266563,0.088198185,0.375212908,0.081861258,0.131673574,0.002020121,0.003210783
0.017059803,0.089482307,0.380641937,0.058993816,0.131651402,0.002002001,0.004003286
0.013222933,0.087081671,0.371758223,0.069840908,0.13525486,0.001000643,0.00300169
0.014267445,0.087870598,0.373184443,0.063597679,0.13267684,0.001040936,0.003177643
0.015283108,0.090662479,0.371474743,0.062441349,0.173196316,0.001000404,0.003502131
0.015696526,0.08924675,0.378353357,0.060343981,0.133176565,0.001000881,0.00314188
0.013741732,0.088117361,0.366471767,0.064839125,0.133011341,0.001000166,0.003002405
0.014220715,0.087480068,0.372727156,0.066240311,0.133594036,0.001020193,0.003504038
0.019166231,0.096074581,0.429162025,0.061818361,0.133012295,0.001000166,0.00313735
0.014405489,0.092685699,0.376249313,0.063655138,0.135679245,0.001161098,0.003162622
0.014627457,0.08694458,0.371217728,0.064058065,0.137399912,0.001000643,0.003503084
0.016349792,0.088682652,0.378646851,0.06133914,0.135338306,0.001000643,0.003001451
0.013345718,0.089501143,0.449379206,0.06640625,0.138735771,0.002000809,0.004048109
0.015178442,0.090979099,0.379359722,0.063323259,0.136646271,0.00100255,0.003132582
